leitura,segundo,minuto,intensidadeMinuto
0,475,8,False
0,475,8,False
0,476,8,False
0,476,8,False
0,476,8,False
0,477,8,False
0,477,8,False
0,477,8,False
0,478,8,False
0,478,8,False
1,478,8,False
0,479,8,False
0,479,8,False
1,479,8,False
0,480,8,False
0,480,8,False
0,480,8,False
1,481,9,False
0,481,9,False
0,481,9,False
0,482,9,False
1,482,9,False
1,482,9,False
1,483,9,False
0,483,9,False
1,483,9,False
1,484,9,False
1,484,9,False
0,484,9,False
1,485,9,False
0,485,9,False
0,485,9,False
0,486,9,False
0,486,9,False
1,486,9,False
0,487,9,False
0,487,9,False
1,487,9,False
1,488,9,False
1,488,9,False
1,488,9,False
0,489,9,False
1,489,9,False
0,489,9,False
0,490,9,False
0,490,9,False
1,490,9,False
0,491,9,False
0,491,9,False
0,491,9,False
0,492,9,False
1,492,9,False
0,492,9,False
0,493,9,False
1,493,9,False
0,493,9,False
0,494,9,False
0,494,9,False
0,494,9,False
0,495,9,False
0,495,9,False
0,495,9,False
0,496,9,False
0,496,9,False
0,496,9,False
0,497,9,False
0,497,9,False
0,497,9,False
1,498,9,False
0,498,9,False
0,498,9,False
0,499,9,False
0,499,9,False
0,499,9,False
0,500,9,False
0,500,9,False
0,500,9,False
0,501,9,False
1,501,9,False
0,501,9,False
0,502,9,False
0,502,9,False
0,502,9,False
0,503,9,False
0,503,9,False
1,503,9,False
1,504,9,False
1,504,9,False
0,504,9,False
0,505,9,False
1,505,9,False
1,505,9,False
1,506,9,False
1,506,9,False
0,506,9,False
0,507,9,False
0,507,9,False
0,507,9,False
0,508,9,False
0,508,9,False
0,508,9,False
1,509,9,False
0,509,9,False
0,509,9,False
0,510,9,False
0,510,9,False
0,510,9,False
0,511,9,False
1,511,9,False
0,511,9,False
0,512,9,False
0,512,9,False
0,512,9,False
0,513,9,False
0,513,9,False
0,513,9,False
1,514,9,False
1,514,9,False
1,514,9,False
0,515,9,False
0,515,9,False
0,515,9,False
0,516,9,False
0,516,9,False
0,516,9,False
1,517,9,False
0,517,9,False
1,517,9,False
0,518,9,False
1,518,9,False
0,518,9,False
0,519,9,False
0,519,9,False
0,519,9,False
0,520,9,False
1,520,9,False
0,520,9,False
0,521,9,False
0,521,9,False
1,521,9,False
0,522,9,False
0,522,9,False
0,522,9,False
0,523,9,False
0,523,9,False
0,523,9,False
0,524,9,False
0,524,9,False
0,524,9,False
1,525,9,False
0,525,9,False
1,525,9,False
1,526,9,False
0,526,9,False
1,526,9,False
0,527,9,False
0,527,9,False
1,527,9,False
1,528,9,False
0,528,9,False
0,528,9,False
0,529,9,False
0,529,9,False
0,529,9,False
1,530,9,False
0,530,9,False
1,530,9,False
0,531,9,False
0,531,9,False
1,531,9,False
0,532,9,False
0,532,9,False
0,532,9,False
0,533,9,False
1,533,9,False
1,533,9,False
1,534,9,False
1,534,9,False
1,534,9,False
0,535,9,False
1,535,9,False
0,535,9,False
0,536,9,False
0,536,9,False
0,536,9,False
1,537,9,False
0,537,9,False
0,537,9,False
0,538,9,False
1,538,9,False
1,538,9,False
0,539,9,False
0,539,9,False
0,539,9,False
0,540,9,False
1,540,9,False
0,540,9,False
0,541,10,True
0,541,10,True
1,541,10,True
0,542,10,True
0,542,10,True
0,542,10,True
1,543,10,True
1,543,10,True
0,543,10,True
1,544,10,True
0,544,10,True
0,544,10,True
0,545,10,True
0,545,10,True
1,545,10,True
0,546,10,True
0,546,10,True
1,546,10,True
0,547,10,True
1,547,10,True
0,547,10,True
0,548,10,True
1,548,10,True
1,548,10,True
0,549,10,True
0,549,10,True
