Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
288,1,97,2,False,Banco do Motorista,Gasolina
289,1,97,2,False,Banco do Motorista,Gasolina
290,0,97,2,False,Banco do Motorista,Gasolina
291,0,98,2,False,Banco do Motorista,Gasolina
292,0,98,2,False,Banco do Motorista,Gasolina
293,0,98,2,False,Banco do Motorista,Gasolina
294,0,99,2,False,Banco do Motorista,Gasolina
295,1,99,2,False,Banco do Motorista,Gasolina
296,1,99,2,False,Banco do Motorista,Gasolina
297,1,100,2,False,Banco do Motorista,Gasolina
298,1,100,2,False,Banco do Motorista,Gasolina
299,0,100,2,False,Banco do Motorista,Gasolina
300,1,101,2,False,Banco do Motorista,Gasolina
301,0,101,2,False,Banco do Motorista,Gasolina
302,0,101,2,False,Banco do Motorista,Gasolina
303,1,102,2,False,Banco do Motorista,Gasolina
304,1,102,2,False,Banco do Motorista,Gasolina
305,0,102,2,False,Banco do Motorista,Gasolina
306,0,103,2,False,Banco do Motorista,Gasolina
307,0,103,2,False,Banco do Motorista,Gasolina
308,1,103,2,False,Banco do Motorista,Gasolina
309,1,104,2,False,Banco do Motorista,Gasolina
310,1,104,2,False,Banco do Motorista,Gasolina
311,1,104,2,False,Banco do Motorista,Gasolina
312,0,105,2,False,Banco do Motorista,Gasolina
313,0,105,2,False,Banco do Motorista,Gasolina
314,1,105,2,False,Banco do Motorista,Gasolina
315,1,106,2,False,Banco do Motorista,Gasolina
316,1,106,2,False,Banco do Motorista,Gasolina
317,0,106,2,False,Banco do Motorista,Gasolina
318,1,107,2,False,Banco do Motorista,Gasolina
319,1,107,2,False,Banco do Motorista,Gasolina
320,1,107,2,False,Banco do Motorista,Gasolina
321,0,108,2,False,Banco do Motorista,Gasolina
322,0,108,2,False,Banco do Motorista,Gasolina
323,1,108,2,False,Banco do Motorista,Gasolina
324,0,109,2,False,Banco do Motorista,Gasolina
325,1,109,2,False,Banco do Motorista,Gasolina
326,1,109,2,False,Banco do Motorista,Gasolina
327,0,110,2,False,Banco do Motorista,Gasolina
328,0,110,2,False,Banco do Motorista,Gasolina
329,0,110,2,False,Banco do Motorista,Gasolina
330,1,111,2,False,Banco do Motorista,Gasolina
331,1,111,2,False,Banco do Motorista,Gasolina
332,1,111,2,False,Banco do Motorista,Gasolina
333,1,112,2,False,Banco do Motorista,Gasolina
334,0,112,2,False,Banco do Motorista,Gasolina
335,0,112,2,False,Banco do Motorista,Gasolina
336,0,113,2,False,Banco do Motorista,Gasolina
337,1,113,2,False,Banco do Motorista,Gasolina
338,0,113,2,False,Banco do Motorista,Gasolina
339,0,114,2,False,Banco do Motorista,Gasolina
340,0,114,2,False,Banco do Motorista,Gasolina
341,0,114,2,False,Banco do Motorista,Gasolina
342,0,115,2,False,Banco do Motorista,Gasolina
343,1,115,2,False,Banco do Motorista,Gasolina
344,1,115,2,False,Banco do Motorista,Gasolina
345,0,116,2,False,Banco do Motorista,Gasolina
346,1,116,2,False,Banco do Motorista,Gasolina
347,1,116,2,False,Banco do Motorista,Gasolina
348,0,117,2,False,Banco do Motorista,Gasolina
349,1,117,2,False,Banco do Motorista,Gasolina
350,1,117,2,False,Banco do Motorista,Gasolina
351,1,118,2,False,Banco do Motorista,Gasolina
352,0,118,2,False,Banco do Motorista,Gasolina
353,0,118,2,False,Banco do Motorista,Gasolina
354,0,119,2,False,Banco do Motorista,Gasolina
355,1,119,2,False,Banco do Motorista,Gasolina
356,1,119,2,False,Banco do Motorista,Gasolina
357,1,120,2,False,Banco do Motorista,Gasolina
358,0,120,2,False,Banco do Motorista,Gasolina
359,1,120,2,False,Banco do Motorista,Gasolina
360,1,121,3,False,Banco do Motorista,Gasolina
361,1,121,3,False,Banco do Motorista,Gasolina
362,0,121,3,False,Banco do Motorista,Gasolina
363,0,122,3,False,Banco do Motorista,Gasolina
364,1,122,3,False,Banco do Motorista,Gasolina
365,1,122,3,False,Banco do Motorista,Gasolina
366,1,123,3,False,Banco do Motorista,Gasolina
367,0,123,3,False,Banco do Motorista,Gasolina
368,1,123,3,False,Banco do Motorista,Gasolina
369,1,124,3,False,Banco do Motorista,Gasolina
370,0,124,3,False,Banco do Motorista,Gasolina
371,0,124,3,False,Banco do Motorista,Gasolina
372,1,125,3,False,Banco do Motorista,Gasolina
373,1,125,3,False,Banco do Motorista,Gasolina
374,0,125,3,False,Banco do Motorista,Gasolina
375,0,126,3,False,Banco do Motorista,Gasolina
376,1,126,3,False,Banco do Motorista,Gasolina
377,0,126,3,False,Banco do Motorista,Gasolina
378,0,127,3,False,Banco do Motorista,Gasolina
379,0,127,3,False,Banco do Motorista,Gasolina
380,1,127,3,False,Banco do Motorista,Gasolina
381,0,128,3,False,Banco do Motorista,Gasolina
382,0,128,3,False,Banco do Motorista,Gasolina
383,0,128,3,False,Banco do Motorista,Gasolina
384,1,129,3,False,Banco do Motorista,Gasolina
385,1,129,3,False,Banco do Motorista,Gasolina
386,0,129,3,False,Banco do Motorista,Gasolina
387,0,130,3,False,Banco do Motorista,Gasolina
388,1,130,3,False,Banco do Motorista,Gasolina
389,0,130,3,False,Banco do Motorista,Gasolina
390,0,131,3,False,Banco do Motorista,Gasolina
391,1,131,3,False,Banco do Motorista,Gasolina
392,0,131,3,False,Banco do Motorista,Gasolina
393,0,132,3,False,Banco do Motorista,Gasolina
394,1,132,3,False,Banco do Motorista,Gasolina
395,0,132,3,False,Banco do Motorista,Gasolina
